               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11141,            0.024422,            0.062678,             0.51169,            0.022625,           0.0035503,          0.00075659,            0.089452,            0.021339,             0.05228,           0.0032432,           0.0032432,            0.070811
                   0,             0.11157,            0.024411,            0.062681,             0.90341,           0.0075581,             0.00186,          0.00045854,            0.089795,            0.021278,               0.053,           0.0032432,           0.0032432,            0.070811
                   0,             0.11137,            0.024381,            0.062455,             0.80443,           0.0063953,            0.002792,          0.00070264,            0.087454,            0.021608,            0.052729,           0.0032432,           0.0032432,            0.070811
                   0,             0.11128,            0.024383,            0.062425,             0.40973,            0.021777,           0.0024593,          0.00065263,            0.091988,            0.020644,            0.052929,           0.0032432,           0.0032432,            0.070811
                   1,            0.083689,            0.022633,            0.048568,             0.14814,             0.16295,            0.018529,           0.0050728,            0.082426,            0.020997,            0.047051,           0.0064582,           0.0064582,            0.040692
                   2,            0.075831,            0.020106,            0.045874,             0.52681,            0.090295,            0.022112,           0.0051593,            0.074408,            0.019567,             0.04272,           0.0095532,           0.0095532,            0.010454
                   3,            0.071359,            0.018727,            0.042952,                0.03,             0.23954,            0.039329,            0.013181,            0.070841,            0.019166,            0.042262,             0.00946,             0.00946,             0.00946
                   4,            0.066651,            0.016991,            0.041717,             0.54529,            0.086974,            0.031785,            0.010178,            0.073767,             0.01746,            0.042513,             0.00946,             0.00946,             0.00946
                   5,            0.064181,            0.017464,             0.04142,             0.54582,            0.094037,            0.035278,            0.011668,            0.069528,            0.020915,            0.045184,             0.00928,             0.00928,             0.00928
                   6,            0.062832,            0.017291,            0.040605,             0.54747,            0.089797,            0.053056,            0.016903,            0.067138,            0.018675,            0.041495,              0.0091,              0.0091,              0.0091
                   7,            0.062363,            0.016314,             0.03983,             0.53543,             0.12287,            0.038898,            0.014439,             0.06651,            0.018483,            0.039366,             0.00892,             0.00892,             0.00892
                   8,            0.061354,            0.016226,            0.039365,             0.54515,             0.10906,             0.04679,            0.016585,            0.069877,            0.016576,            0.040602,             0.00874,             0.00874,             0.00874
                   9,            0.061052,            0.016959,            0.037233,             0.54712,             0.10057,            0.048534,            0.014786,            0.067176,            0.016617,            0.043296,             0.00856,             0.00856,             0.00856
                  10,             0.05938,            0.016551,            0.038261,             0.56845,            0.081852,            0.055226,            0.017577,            0.069966,            0.018899,            0.040653,             0.00838,             0.00838,             0.00838
                  11,            0.058278,            0.016082,            0.037635,             0.35146,             0.12798,            0.051354,            0.019077,            0.069779,            0.017425,            0.039403,              0.0082,              0.0082,              0.0082
                  12,            0.057085,            0.015598,            0.035961,             0.43773,             0.15759,            0.076623,            0.030564,            0.072098,            0.017092,            0.039213,             0.00802,             0.00802,             0.00802
                  13,            0.056016,            0.015474,            0.034908,             0.47439,             0.10671,            0.066817,            0.021437,            0.068472,            0.016448,            0.038812,             0.00784,             0.00784,             0.00784
                  14,            0.057125,            0.016152,            0.033255,             0.58312,             0.10598,            0.075939,             0.02384,            0.069216,            0.016999,            0.037391,             0.00766,             0.00766,             0.00766
                  15,            0.056583,            0.015722,            0.032623,             0.35625,             0.17157,            0.058158,            0.024718,            0.070504,            0.016564,            0.039714,             0.00748,             0.00748,             0.00748
                  16,            0.056169,            0.015473,            0.031895,             0.57403,             0.08306,             0.06167,             0.02374,            0.067107,            0.016318,            0.036917,              0.0073,              0.0073,              0.0073
                  17,            0.054407,            0.014821,             0.03128,             0.48499,             0.11536,            0.064485,            0.024362,            0.066803,            0.017187,            0.039414,             0.00712,             0.00712,             0.00712
                  18,            0.053482,            0.014911,            0.030623,             0.59673,             0.10163,            0.069201,            0.023777,            0.068816,            0.016816,            0.041731,             0.00694,             0.00694,             0.00694
                  19,            0.053875,            0.014838,            0.029673,             0.39329,             0.16067,             0.07457,             0.02722,            0.069356,            0.016494,            0.040818,             0.00676,             0.00676,             0.00676
                  20,            0.053401,            0.014939,            0.028647,             0.40563,             0.18821,            0.067879,            0.024868,            0.068308,            0.015752,            0.041852,             0.00658,             0.00658,             0.00658
                  21,             0.05266,            0.014305,            0.029006,             0.44435,             0.16744,            0.084391,            0.031395,            0.068683,            0.017022,            0.046966,              0.0064,              0.0064,              0.0064
                  22,            0.051767,            0.015014,            0.027593,             0.42895,             0.18502,             0.09919,            0.038748,            0.068624,            0.017802,            0.041671,             0.00622,             0.00622,             0.00622
                  23,            0.051471,            0.014716,            0.026113,             0.44613,             0.15573,             0.08098,            0.039712,            0.069252,            0.016086,            0.044216,             0.00604,             0.00604,             0.00604
                  24,            0.050541,            0.014421,            0.026464,             0.16827,             0.27946,            0.077177,            0.029414,             0.06737,            0.015485,            0.037144,             0.00586,             0.00586,             0.00586
                  25,            0.050114,            0.014084,            0.025876,             0.23484,             0.25954,             0.11298,            0.042363,             0.06766,            0.015794,            0.041719,             0.00568,             0.00568,             0.00568
                  26,            0.049798,            0.014025,            0.024499,             0.38838,             0.17751,             0.10763,            0.040454,            0.065714,            0.016135,            0.042077,              0.0055,              0.0055,              0.0055
                  27,            0.049414,            0.014382,            0.024753,            0.071058,             0.25244,            0.084619,            0.040512,            0.067457,            0.017934,            0.044112,             0.00532,             0.00532,             0.00532
                  28,            0.048903,            0.013898,            0.022056,             0.58527,            0.096723,            0.057714,            0.022438,            0.072844,            0.016124,            0.044019,             0.00514,             0.00514,             0.00514
                  29,            0.048485,             0.01353,            0.022661,              0.3796,             0.13124,            0.074374,            0.031585,            0.064998,            0.015594,            0.045738,             0.00496,             0.00496,             0.00496
                  30,            0.047602,            0.014094,            0.022841,             0.10643,              0.1721,            0.074124,            0.028573,            0.067815,             0.01657,            0.043597,             0.00478,             0.00478,             0.00478
                  31,            0.047615,            0.013297,             0.02157,             0.25316,             0.18782,             0.13238,            0.062319,            0.065098,            0.016804,            0.050582,              0.0046,              0.0046,              0.0046
                  32,            0.047125,            0.013365,            0.020533,            0.099873,             0.24018,            0.094115,            0.038224,            0.065867,            0.016595,            0.049585,             0.00442,             0.00442,             0.00442
                  33,            0.046839,            0.013444,             0.01948,             0.13017,             0.17915,            0.094075,            0.034095,             0.06524,            0.016545,            0.045344,             0.00424,             0.00424,             0.00424
                  34,            0.045483,            0.012856,            0.019998,            0.097196,             0.24012,            0.085671,            0.031285,            0.066059,            0.016292,            0.048055,             0.00406,             0.00406,             0.00406
                  35,            0.044739,            0.012579,            0.017512,             0.13599,             0.15981,            0.081488,            0.027911,             0.06625,            0.015962,            0.044486,             0.00388,             0.00388,             0.00388
                  36,            0.045317,            0.012649,            0.016714,              0.4095,             0.11228,            0.073259,            0.027593,               0.068,            0.017506,            0.052396,              0.0037,              0.0037,              0.0037
                  37,            0.044083,            0.012412,            0.015873,            0.077186,             0.22568,            0.077649,            0.027725,            0.069391,            0.016579,            0.049216,             0.00352,             0.00352,             0.00352
                  38,            0.043544,              0.0126,            0.015567,             0.57802,             0.10618,            0.077558,            0.032787,            0.068254,            0.016296,            0.046866,             0.00334,             0.00334,             0.00334
                  39,            0.043777,            0.012081,            0.014796,             0.12147,             0.19229,            0.083805,            0.035877,            0.067217,            0.016657,            0.047193,             0.00316,             0.00316,             0.00316
                  40,            0.043338,             0.01288,            0.014256,             0.10522,             0.19044,            0.085621,             0.03074,            0.069132,            0.017551,            0.051504,             0.00298,             0.00298,             0.00298
                  41,            0.042192,            0.012038,            0.013002,             0.44057,             0.11225,            0.075102,            0.027958,            0.069039,            0.016915,            0.046124,              0.0028,              0.0028,              0.0028
                  42,            0.041442,            0.012068,            0.012308,             0.12216,             0.22137,            0.092932,            0.040357,            0.068383,            0.016338,            0.049173,             0.00262,             0.00262,             0.00262
                  43,            0.041768,            0.012098,            0.013055,             0.10343,             0.21091,            0.088696,            0.036253,             0.06803,            0.016486,            0.050133,             0.00244,             0.00244,             0.00244
                  44,            0.040545,            0.011586,            0.012246,             0.12348,             0.12635,            0.074438,             0.02666,            0.067866,            0.016089,            0.049802,             0.00226,             0.00226,             0.00226
                  45,             0.04056,            0.011334,            0.011652,             0.11674,             0.14522,            0.075467,            0.027518,            0.068054,            0.016609,            0.050463,             0.00208,             0.00208,             0.00208
                  46,            0.038438,            0.011567,            0.010907,             0.22789,             0.14546,            0.079623,            0.031707,            0.068846,            0.016349,             0.05221,              0.0019,              0.0019,              0.0019
                  47,            0.038869,            0.011659,             0.01044,             0.22959,             0.14105,            0.073876,            0.028944,             0.06947,            0.016054,            0.053709,             0.00172,             0.00172,             0.00172
                  48,            0.038258,            0.011103,           0.0098709,             0.59224,             0.10118,            0.081294,            0.034388,            0.069307,            0.016378,            0.055004,             0.00154,             0.00154,             0.00154
                  49,            0.037816,            0.010865,           0.0097819,             0.33597,             0.12186,            0.089296,            0.035523,            0.068868,            0.016603,            0.057372,             0.00136,             0.00136,             0.00136
