15,1,1240.0888671875,472.068603515625,-1,-1,1,-1,-1,-1
16,1,1190.239501953125,471.988037109375,-1,-1,1,-1,-1,-1
29,1,699.664306640625,464.7234191894531,-1,-1,1,-1,-1,-1
30,1,678.1923828125,471.8124694824219,-1,-1,1,-1,-1,-1
238,2,1346.546142578125,458.06781005859375,-1,-1,1,-1,-1,-1
239,2,1311.19970703125,493.42840576171875,-1,-1,1,-1,-1,-1
240,2,1289.681640625,493.48699951171875,-1,-1,1,-1,-1,-1
241,2,1268.45263671875,486.1165771484375,-1,-1,1,-1,-1,-1
242,2,1239.9775390625,486.0883483886719,-1,-1,1,-1,-1,-1
243,2,1218.9677734375,486.0156555175781,-1,-1,1,-1,-1,-1
244,2,1190.4130859375,486.16619873046875,-1,-1,1,-1,-1,-1
245,2,1162.017578125,485.99737548828125,-1,-1,1,-1,-1,-1
246,2,1133.75244140625,485.901123046875,-1,-1,1,-1,-1,-1
247,2,1105.252685546875,485.9881286621094,-1,-1,1,-1,-1,-1
248,2,1076.8427734375,485.98614501953125,-1,-1,1,-1,-1,-1
252,2,955.9320068359375,464.76947021484375,-1,-1,1,-1,-1,-1
253,2,920.3179931640625,464.92938232421875,-1,-1,1,-1,-1,-1
254,2,884.7426147460938,457.8361511230469,-1,-1,1,-1,-1,-1
256,2,799.5213012695312,450.80511474609375,-1,-1,1,-1,-1,-1
