               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   9,            0.070083,            0.022278,            0.041805,             0.58055,            0.056467,            0.038387,           0.0089019,            0.091087,            0.023015,            0.053035,              0.0064,              0.0064,              0.0064
                  10,            0.065659,            0.022778,            0.042609,             0.34431,            0.081452,            0.039698,            0.009736,            0.089311,             0.02241,            0.052569,             0.00595,             0.00595,             0.00595
                  11,            0.064827,            0.021372,             0.03733,              0.3835,             0.12547,            0.043444,           0.0093623,            0.082163,            0.022729,            0.052706,              0.0055,              0.0055,              0.0055
                  12,            0.063583,            0.021412,             0.03931,              0.3298,             0.10761,            0.026634,           0.0045468,            0.082442,            0.023911,            0.051865,             0.00505,             0.00505,             0.00505
                  13,            0.060756,            0.019568,            0.037163,             0.33748,            0.097186,            0.030081,            0.012759,            0.086025,            0.023321,            0.051473,              0.0046,              0.0046,              0.0046
                  14,            0.059952,            0.018262,            0.032493,             0.37178,            0.092471,            0.038087,           0.0098935,            0.084117,             0.02273,            0.053237,             0.00415,             0.00415,             0.00415
                  15,            0.058367,            0.018608,            0.035652,             0.32319,             0.12902,            0.027577,           0.0084038,            0.083827,            0.021495,            0.054545,              0.0037,              0.0037,              0.0037
                  16,            0.054442,             0.01794,            0.038822,              0.3186,             0.21707,            0.026558,            0.010344,            0.085643,            0.019975,            0.054923,             0.00325,             0.00325,             0.00325
                  17,            0.054997,            0.017927,             0.03399,             0.34973,             0.20909,            0.048112,            0.016111,            0.082339,            0.020569,            0.054501,              0.0028,              0.0028,              0.0028
                  18,             0.05499,            0.018352,            0.034559,             0.35194,             0.23823,            0.053514,            0.020609,            0.086214,            0.020055,            0.054054,             0.00235,             0.00235,             0.00235
                  19,            0.051484,            0.016866,              0.0305,             0.33871,             0.26381,            0.047705,            0.019898,            0.083751,            0.019874,            0.053158,              0.0019,              0.0019,              0.0019
